"date","geography","geography code","Rural Urban","Sex: All persons; Occupation: All categories: Occupation; measures: Value","Sex: All persons; Occupation: 1. Managers, directors and senior officials; measures: Value","Sex: All persons; Occupation: 2. Professional occupations; measures: Value","Sex: All persons; Occupation: 3. Associate professional and technical occupations; measures: Value","Sex: All persons; Occupation: 4. Administrative and secretarial occupations; measures: Value","Sex: All persons; Occupation: 5. Skilled trades occupations; measures: Value","Sex: All persons; Occupation: 6. Caring, leisure and other service occupations; measures: Value","Sex: All persons; Occupation: 7. Sales and customer service occupations; measures: Value","Sex: All persons; Occupation: 8. Process plant and machine operatives; measures: Value","Sex: All persons; Occupation: 9. Elementary occupations; measures: Value","Sex: Males; Occupation: All categories: Occupation; measures: Value","Sex: Males; Occupation: 1. Managers, directors and senior officials; measures: Value","Sex: Males; Occupation: 2. Professional occupations; measures: Value","Sex: Males; Occupation: 3. Associate professional and technical occupations; measures: Value","Sex: Males; Occupation: 4. Administrative and secretarial occupations; measures: Value","Sex: Males; Occupation: 5. Skilled trades occupations; measures: Value","Sex: Males; Occupation: 6. Caring, leisure and other service occupations; measures: Value","Sex: Males; Occupation: 7. Sales and customer service occupations; measures: Value","Sex: Males; Occupation: 8. Process plant and machine operatives; measures: Value","Sex: Males; Occupation: 9. Elementary occupations; measures: Value","Sex: Females; Occupation: All categories: Occupation; measures: Value","Sex: Females; Occupation: 1. Managers, directors and senior officials; measures: Value","Sex: Females; Occupation: 2. Professional occupations; measures: Value","Sex: Females; Occupation: 3. Associate professional and technical occupations; measures: Value","Sex: Females; Occupation: 4. Administrative and secretarial occupations; measures: Value","Sex: Females; Occupation: 5. Skilled trades occupations; measures: Value","Sex: Females; Occupation: 6. Caring, leisure and other service occupations; measures: Value","Sex: Females; Occupation: 7. Sales and customer service occupations; measures: Value","Sex: Females; Occupation: 8. Process plant and machine operatives; measures: Value","Sex: Females; Occupation: 9. Elementary occupations; measures: Value"
"2011","Darlington","E06000005","Total",49014,4639,7447,5741,5886,5808,4832,5461,3562,5638,25264,2904,3575,3457,1339,5133,820,1726,3211,3099,23750,1735,3872,2284,4547,675,4012,3735,351,2539
"2011","County Durham","E06000047","Total",227894,20169,33042,24335,25774,28753,23446,21042,23243,28090,118472,12440,15063,14240,5423,25758,4356,5975,20348,14869,109422,7729,17979,10095,20351,2995,19090,15067,2895,13221
"2011","Hartlepool","E06000001","Total",37767,3035,4921,3958,3853,5126,4359,3880,3879,4756,19511,1824,2222,2431,674,4723,679,963,3561,2434,18256,1211,2699,1527,3179,403,3680,2917,318,2322
"2011","Middlesbrough","E06000002","Total",54547,3884,7247,5177,5541,6437,6646,6077,5483,8055,28197,2389,3234,3118,1232,5782,1247,2051,4992,4152,26350,1495,4013,2059,4309,655,5399,4026,491,3903
"2011","Northumberland","E06000057","Total",146901,15459,22807,16827,16891,19038,15579,12688,11390,16222,75848,9527,10455,10101,3361,16830,2985,3823,10234,8532,71053,5932,12352,6726,13530,2208,12594,8865,1156,7690
"2011","Redcar and Cleveland","E06000003","Total",56354,4370,7420,6076,6087,7702,6834,5317,5369,7179,28719,2573,3208,3699,1099,7010,1045,1370,4980,3735,27635,1797,4212,2377,4988,692,5789,3947,389,3444
"2011","Stockton-on-Tees","E06000004","Total",87122,7894,13885,10330,9887,10139,8523,9129,7280,10055,44908,5084,6503,6388,1921,9218,1366,2872,6460,5096,42214,2810,7382,3942,7966,921,7157,6257,820,4959
"2011","Gateshead","E08000037","Total",91877,7720,13979,10437,11925,10484,8667,10206,7586,10873,47337,4747,6570,6017,2846,9564,1695,3171,6902,5825,44540,2973,7409,4420,9079,920,6972,7035,684,5048
"2011","Newcastle upon Tyne","E08000021","Total",119335,9556,24317,12916,13505,11237,10739,13609,7466,15990,62768,6187,12141,7545,3926,10145,2477,5175,6850,8322,56567,3369,12176,5371,9579,1092,8262,8434,616,7668
"2011","North Tyneside","E08000022","Total",96026,8205,16953,11624,13912,10077,8662,10312,6613,9668,48859,5106,7961,6715,3569,9152,1727,3542,6030,5057,47167,3099,8992,4909,10343,925,6935,6770,583,4611
"2011","South Tyneside","E08000023","Total",64622,5031,8545,7097,8480,8174,6738,6862,6120,7575,33531,3071,3932,4293,1912,7520,1116,2096,5542,4049,31091,1960,4613,2804,6568,654,5622,4766,578,3526
"2011","Sunderland","E08000024","Total",121511,9278,14842,12076,15464,14679,12137,14959,11969,16107,62514,5722,6593,7097,3522,13343,2341,4462,10836,8598,58997,3556,8249,4979,11942,1336,9796,10497,1133,7509
"2011","Blackburn with Darwen","E06000008","Total",60523,5670,8482,5718,6702,7176,6823,5992,6791,7169,33440,3772,3986,3325,1758,6440,1358,2768,5838,4195,27083,1898,4496,2393,4944,736,5465,3224,953,2974
"2011","Blackpool","E06000009","Total",61419,6832,6330,5546,8351,7184,7537,6200,4848,8591,31451,3887,2870,3153,2104,6455,1607,2230,4286,4859,29968,2945,3460,2393,6247,729,5930,3970,562,3732
"2011","Cheshire East","E06000049","Total",181136,24551,35525,23592,18819,18711,16059,13650,11849,18380,95118,16423,17829,13414,3492,16589,2630,4728,10231,9782,86018,8128,17696,10178,15327,2122,13429,8922,1618,8598
"2011","Cheshire West and Chester","E06000050","Total",160138,18672,29045,19767,16853,17003,14320,14739,11906,17833,83031,11995,14236,11422,3379,15169,2261,4632,10659,9278,77107,6677,14809,8345,13474,1834,12059,10107,1247,8555
"2011","Halton","E06000006","Total",57577,4705,6864,6354,6818,6127,5466,7090,6235,7918,29843,2926,3195,3761,1440,5551,796,1947,5731,4496,27734,1779,3669,2593,5378,576,4670,5143,504,3422
"2011","Warrington","E06000007","Total",100856,11178,18256,13081,11716,9610,8628,9885,6872,11630,52424,7435,9173,7448,2380,8710,1368,3150,6273,6487,48432,3743,9083,5633,9336,900,7260,6735,599,5143
"2011","Allerdale","E07000026","Total",46076,4663,6034,4179,4284,7766,4617,4001,4741,5791,24175,2732,2903,2354,778,6823,558,997,4209,2821,21901,1931,3131,1825,3506,943,4059,3004,532,2970
"2011","Barrow-in-Furness","E07000027","Total",31257,2345,4598,3211,3152,5088,3601,3050,2533,3679,16552,1460,2457,2043,549,4683,596,722,2275,1767,14705,885,2141,1168,2603,405,3005,2328,258,1912
"2011","Carlisle","E07000028","Total",53874,4925,6638,5010,5978,7402,5164,5267,6366,7124,28277,3107,2952,2852,1169,6548,776,1570,5461,3842,25597,1818,3686,2158,4809,854,4388,3697,905,3282
"2011","Copeland","E07000029","Total",32891,2863,4808,3702,3075,5175,3116,2436,3671,4045,17546,1800,2550,2095,472,4533,356,593,3214,1933,15345,1063,2258,1607,2603,642,2760,1843,457,2112
"2011","Eden","E07000030","Total",27461,3209,3561,2429,2507,5355,2499,1961,2440,3500,14525,1869,1590,1344,338,4550,372,569,2180,1713,12936,1340,1971,1085,2169,805,2127,1392,260,1787
"2011","South Lakeland","E07000031","Total",51672,6930,8423,5073,4724,8508,4709,4170,3051,6084,26834,4035,3954,2862,745,7503,774,1294,2685,2982,24838,2895,4469,2211,3979,1005,3935,2876,366,3102
"2011","Bolton","E08000001","Total",123367,12018,18434,14147,14556,14129,11969,12973,10887,14254,65347,7780,8747,8088,3278,12701,2230,5134,9539,7850,58020,4238,9687,6059,11278,1428,9739,7839,1348,6404
"2011","Bury","E08000002","Total",88036,9415,15320,11204,10825,8896,8552,8537,6723,8564,45419,6112,7024,6330,2398,8016,1517,3161,6105,4756,42617,3303,8296,4874,8427,880,7035,5376,618,3808
"2011","Manchester","E08000003","Total",213705,15977,42788,26590,22286,16083,20847,24065,13372,31697,114297,10287,21692,14987,7592,13979,5333,10694,12041,17692,99408,5690,21096,11603,14694,2104,15514,13371,1331,14005
"2011","Oldham","E08000004","Total",96300,8867,12481,10140,11303,12652,9957,8835,9326,12739,51644,5788,5639,5528,2352,11513,1850,3517,8039,7418,44656,3079,6842,4612,8951,1139,8107,5318,1287,5321
"2011","Rochdale","E08000005","Total",90753,8295,12413,9382,10711,10805,10074,8456,9076,11541,47770,5354,5536,5200,2331,9736,1795,3185,7981,6652,42983,2941,6877,4182,8380,1069,8279,5271,1095,4889
"2011","Salford","E08000006","Total",106904,9470,16122,12980,13900,10474,10830,11478,7897,13753,56000,6095,7885,7317,3656,9384,2163,4343,7214,7943,50904,3375,8237,5663,10244,1090,8667,7135,683,5810
"2011","Stockport","E08000007","Total",137130,15544,27091,18080,17082,13854,12830,13133,8141,11375,70877,10213,13097,10377,3944,12547,2313,4945,7260,6181,66253,5331,13994,7703,13138,1307,10517,8188,881,5194
"2011","Tameside","E08000008","Total",101892,9069,12129,11311,13599,13334,10164,10505,10325,11456,53107,5690,5507,6166,2960,12102,1911,3602,8856,6313,48785,3379,6622,5145,10639,1232,8253,6903,1469,5143
"2011","Trafford","E08000009","Total",110912,12978,24907,15518,14288,9595,8814,9879,5754,9179,57838,8443,12455,8843,3518,8479,1617,3934,5296,5253,53074,4535,12452,6675,10770,1116,7197,5945,458,3926
"2011","Wigan","E08000010","Total",149908,13429,20108,16630,17337,19155,15395,13809,15513,18532,79220,8578,9039,9631,3535,17483,2571,3961,13591,10831,70688,4851,11069,6999,13802,1672,12824,9848,1922,7701
"2011","Burnley","E07000117","Total",38133,3300,4856,3835,3978,5181,4633,3306,4187,4857,20309,2065,2130,2224,861,4645,819,1201,3543,2821,17824,1235,2726,1611,3117,536,3814,2105,644,2036
"2011","Chorley","E07000118","Total",53702,6224,9539,6868,6048,6398,5408,3985,3949,5283,28281,4037,4439,3920,1144,5819,870,1423,3569,3060,25421,2187,5100,2948,4904,579,4538,2562,380,2223
"2011","Fylde","E07000119","Total",34510,4349,7168,4330,4324,3580,3279,2459,1832,3189,17988,2784,3725,2593,978,3189,578,843,1602,1696,16522,1565,3443,1737,3346,391,2701,1616,230,1493
"2011","Hyndburn","E07000120","Total",35993,3262,4308,3531,3865,5239,4465,3210,4193,3920,19209,2028,1863,1953,727,4707,829,1192,3595,2315,16784,1234,2445,1578,3138,532,3636,2018,598,1605
"2011","Lancaster","E07000121","Total",62832,5815,11379,6764,6095,7712,7580,5572,4357,7558,31931,3455,5295,3947,1267,6825,1385,1883,3965,3909,30901,2360,6084,2817,4828,887,6195,3689,392,3649
"2011","Pendle","E07000122","Total",39324,3747,5172,3802,3786,5641,4254,3674,4875,4373,21472,2398,2419,2114,758,5071,750,1387,4076,2499,17852,1349,2753,1688,3028,570,3504,2287,799,1874
"2011","Preston","E07000123","Total",64180,5404,10417,6881,7558,6763,6196,7099,4995,8867,34176,3506,5272,3934,2001,5993,1183,2843,4332,5112,30004,1898,5145,2947,5557,770,5013,4256,663,3755
"2011","Ribble Valley","E07000124","Total",28713,3954,5796,3232,2969,4030,2758,1562,1807,2605,14920,2589,2601,1802,506,3500,442,570,1596,1314,13793,1365,3195,1430,2463,530,2316,992,211,1291
"2011","Rossendale","E07000125","Total",32808,3780,5411,3945,3458,4242,3678,2440,2831,3023,17006,2366,2371,2233,646,3802,631,826,2447,1684,15802,1414,3040,1712,2812,440,3047,1614,384,1339
"2011","South Ribble","E07000126","Total",55761,5626,9185,6976,7633,6887,5539,4656,4104,5155,28782,3641,4469,3922,1601,6210,871,1523,3629,2916,26979,1985,4716,3054,6032,677,4668,3133,475,2239
"2011","West Lancashire","E07000127","Total",51694,5751,8787,5469,5824,6071,5300,3897,4268,6327,26687,3736,3995,3187,1190,5383,857,1237,3744,3358,25007,2015,4792,2282,4634,688,4443,2660,524,2969
"2011","Wyre","E07000128","Total",48558,5209,7397,5120,6816,6703,5137,3917,3456,4803,25064,3288,3449,2966,1489,5944,873,1337,3141,2577,23494,1921,3948,2154,5327,759,4264,2580,315,2226
"2011","Knowsley","E08000011","Total",61691,4469,7199,6199,8239,7056,7327,6884,6540,7778,30539,2605,3026,3376,1858,6413,1342,1946,5939,4034,31152,1864,4173,2823,6381,643,5985,4938,601,3744
"2011","Liverpool","E08000012","Total",196630,15005,34400,22029,24977,17627,20742,20772,14601,26477,100361,9218,16102,12556,7178,15753,5035,7288,13286,13945,96269,5787,18298,9473,17799,1874,15707,13484,1315,12532
"2011","Sefton","E08000014","Total",121919,11967,19587,14187,17625,12867,13154,11775,8272,12485,61647,7562,8868,8269,4457,11622,2596,3962,7510,6801,60272,4405,10719,5918,13168,1245,10558,7813,762,5684
"2011","St. Helens","E08000013","Total",78580,6896,11526,8570,9323,9228,8586,7187,7162,10102,40707,4347,5221,5041,1928,8367,1498,2059,6466,5780,37873,2549,6305,3529,7395,861,7088,5128,696,4322
"2011","Wirral","E08000015","Total",139929,13034,24738,16816,18013,15208,15277,11971,10685,14187,71103,8195,11287,9884,4336,13704,2894,4076,9454,7273,68826,4839,13451,6932,13677,1504,12383,7895,1231,6914
"2011","East Riding of Yorkshire","E06000011","Total",158757,19073,25851,18198,17718,21761,15246,12083,11767,17060,83196,12601,11848,10789,3220,19390,2269,3590,10536,8953,75561,6472,14003,7409,14498,2371,12977,8493,1231,8107
"2011","Kingston upon Hull, City of","E06000010","Total",110903,7306,11612,10389,11021,15530,11576,12620,12531,18318,58850,4567,5359,6193,2564,13984,1974,3773,10665,9771,52053,2739,6253,4196,8457,1546,9602,8847,1866,8547
"2011","North East Lincolnshire","E06000012","Total",70776,5839,7346,6830,7205,9163,7347,6659,10521,9866,37659,3750,3319,4003,1341,8252,942,1810,8945,5297,33117,2089,4027,2827,5864,911,6405,4849,1576,4569
"2011","North Lincolnshire","E06000013","Total",78101,7654,9522,7504,7681,10703,7461,6081,10047,11448,42032,4966,4330,4327,1286,9567,940,1552,8489,6575,36069,2688,5192,3177,6395,1136,6521,4529,1558,4873
"2011","York","E06000014","Total",98721,10375,19864,11950,10260,9902,8993,10228,5587,11562,50608,6477,9993,6844,2441,8868,1750,3409,4964,5862,48113,3898,9871,5106,7819,1034,7243,6819,623,5700
"2011","Craven","E07000163","Total",27600,3512,5068,3066,2727,4494,2403,1679,1751,2900,14316,2187,2360,1628,409,3912,382,501,1556,1381,13284,1325,2708,1438,2318,582,2021,1178,195,1519
"2011","Hambleton","E07000164","Total",45255,5921,7766,6102,4813,6624,3808,2908,2598,4715,24165,3895,3649,3800,853,5730,579,897,2289,2473,21090,2026,4117,2302,3960,894,3229,2011,309,2242
"2011","Harrogate","E07000165","Total",81402,11721,14866,11670,8708,9525,7347,5986,3876,7703,42975,7749,7278,7003,1731,8288,1135,2139,3445,4207,38427,3972,7588,4667,6977,1237,6212,3847,431,3496
"2011","Richmondshire","E07000166","Total",27795,3374,3270,6794,2343,3926,2163,1487,1471,2967,16441,2205,1454,5573,428,3326,317,456,1316,1366,11354,1169,1816,1221,1915,600,1846,1031,155,1601
"2011","Ryedale","E07000167","Total",25504,3179,3595,2344,2353,4849,2358,1608,2115,3103,13485,1903,1708,1281,321,4126,383,442,1764,1557,12019,1276,1887,1063,2032,723,1975,1166,351,1546
"2011","Scarborough","E07000168","Total",48359,5773,6173,4170,4170,7656,5190,4493,4018,6716,25032,3239,2727,2433,813,6748,947,1270,3599,3256,23327,2534,3446,1737,3357,908,4243,3223,419,3460
"2011","Selby","E07000169","Total",43286,5336,6669,5128,4932,5473,3821,3323,3984,4620,22666,3376,3245,2893,849,4880,527,916,3530,2450,20620,1960,3424,2235,4083,593,3294,2407,454,2170
"2011","Barnsley","E08000016","Total",103579,9372,12836,10260,10450,14242,10781,10870,11291,13477,54347,5849,5726,5716,2002,12860,1780,3186,9854,7374,49232,3523,7110,4544,8448,1382,9001,7684,1437,6103
"2011","Doncaster","E08000017","Total",133815,12078,15111,13199,13530,17283,13875,13922,14079,20738,71019,7700,6910,7735,2584,15587,2484,4189,12359,11471,62796,4378,8201,5464,10946,1696,11391,9733,1720,9267
"2011","Rotherham","E08000018","Total",114871,10285,14407,11387,12652,15018,11983,12670,12205,14264,60668,6667,6487,6496,2354,13785,1980,3838,10958,8103,54203,3618,7920,4891,10298,1233,10003,8832,1247,6161
"2011","Sheffield","E08000019","Total",244318,20481,47803,27794,27279,26275,23217,23925,18199,29345,127532,13217,23083,15394,6572,23847,4634,8762,16369,15654,116786,7264,24720,12400,20707,2428,18583,15163,1830,13691
"2011","Bradford","E08000032","Total",218937,20571,32021,23720,25835,25708,22306,19561,21370,27845,119780,13680,15296,13463,6545,23177,4350,8451,18889,15929,99157,6891,16725,10257,19290,2531,17956,11110,2481,11916
"2011","Calderdale","E08000033","Total",96645,10327,16340,12120,11282,11737,9455,7151,8552,9681,50682,6610,7520,6726,2475,10633,1636,2576,7488,5018,45963,3717,8820,5394,8807,1104,7819,4575,1064,4663
"2011","Kirklees","E08000034","Total",192397,20521,29941,22423,20707,23698,17826,16711,18843,21727,104074,13576,14167,12638,4507,21333,3144,6310,16528,11871,88323,6945,15774,9785,16200,2365,14682,10401,2315,9856
"2011","Leeds","E08000035","Total",355225,33735,65784,46626,42777,36027,32353,33516,23312,41095,184048,21656,32310,25865,10222,32490,6135,12220,20782,22368,171177,12079,33474,20761,32555,3537,26218,21296,2530,18727
"2011","Wakefield","E08000036","Total",151828,13859,18471,16178,16765,18414,14824,13378,16322,23617,79789,8807,8508,9135,3468,16645,2227,3838,14209,12952,72039,5052,9963,7043,13297,1769,12597,9540,2113,10665
"2011","Derby","E06000015","Total",112422,9700,18421,12570,11887,12221,11246,10570,10860,14947,59485,6252,9419,7199,2634,10798,2105,3735,9360,7983,52937,3448,9002,5371,9253,1423,9141,6835,1500,6964
"2011","Leicester","E06000016","Total",137494,9556,19628,12808,13883,12636,13388,14859,17406,23330,74955,6419,9819,7282,4426,11058,2897,6328,13179,13547,62539,3137,9809,5526,9457,1578,10491,8531,4227,9783
"2011","Nottingham","E06000018","Total",123218,9055,19437,13232,11942,11831,12616,13540,10765,20800,65595,5744,9972,7427,3526,10191,2929,5243,9405,11158,57623,3311,9465,5805,8416,1640,9687,8297,1360,9642
"2011","Rutland","E06000017","Total",18037,2752,3203,2857,1552,2214,1459,1078,1092,1830,9885,1887,1597,1828,257,1912,257,305,923,919,8152,865,1606,1029,1295,302,1202,773,169,911
"2011","Amber Valley","E07000032","Total",59381,6419,8767,6534,6370,8167,5339,4376,6516,6893,31524,4151,4361,3750,1132,7281,787,1247,5420,3395,27857,2268,4406,2784,5238,886,4552,3129,1096,3498
"2011","Bolsover","E07000033","Total",34511,3310,3759,3324,3549,4609,3794,2825,3933,5408,18328,2091,1752,1963,678,4141,660,781,3398,2864,16183,1219,2007,1361,2871,468,3134,2044,535,2544
"2011","Chesterfield","E07000034","Total",47901,4381,6948,5135,5462,5743,5335,4553,4348,5996,25117,2723,3228,3020,1204,5241,1068,1558,3878,3197,22784,1658,3720,2115,4258,502,4267,2995,470,2799
"2011","Derbyshire Dales","E07000035","Total",35005,4903,6705,3542,3354,5284,2843,2024,2575,3775,18611,3171,3282,1910,575,4559,419,619,2309,1767,16394,1732,3423,1632,2779,725,2424,1405,266,2008
"2011","Erewash","E07000036","Total",54851,5493,7470,6218,6309,7537,4898,4942,5396,6588,28656,3547,3643,3551,1151,6762,755,1455,4415,3377,26195,1946,3827,2667,5158,775,4143,3487,981,3211
"2011","High Peak","E07000037","Total",45618,5177,8123,5330,4607,5744,4578,3206,4094,4759,23889,3295,3856,3059,854,5074,807,1046,3602,2296,21729,1882,4267,2271,3753,670,3771,2160,492,2463
"2011","North East Derbyshire","E07000038","Total",46858,5178,6719,5128,5760,6364,4535,3914,4182,5078,24646,3416,3168,2957,1038,5778,728,1256,3647,2658,22212,1762,3551,2171,4722,586,3807,2658,535,2420
"2011","South Derbyshire","E07000039","Total",47886,5804,7715,5671,5218,5955,4224,3422,4677,5200,25563,3898,3869,3198,912,5381,570,1001,4090,2644,22323,1906,3846,2473,4306,574,3654,2421,587,2556
"2011","Blaby","E07000129","Total",48276,5384,7700,6275,6141,6286,4233,4130,3498,4629,25185,3619,3726,3523,1122,5714,575,1295,3025,2586,23091,1765,3974,2752,5019,572,3658,2835,473,2043
"2011","Charnwood","E07000130","Total",79572,8669,14282,9726,9110,9719,7289,6178,6169,8430,42069,5798,7263,5548,1711,8756,1201,2176,5256,4360,37503,2871,7019,4178,7399,963,6088,4002,913,4070
"2011","Harborough","E07000131","Total",44079,6735,8434,5856,4995,5227,3449,2864,2464,4055,23324,4629,4087,3389,834,4615,482,955,2144,2189,20755,2106,4347,2467,4161,612,2967,1909,320,1866
"2011","Hinckley and Bosworth","E07000132","Total",53774,6390,8305,6536,6548,6814,4795,3868,4498,6020,28426,4238,4096,3771,1218,6062,658,1131,3904,3348,25348,2152,4209,2765,5330,752,4137,2737,594,2672
"2011","Melton","E07000133","Total",26184,3248,3935,3190,2583,3563,2564,1640,2530,2931,13929,2186,1913,1840,447,3145,354,476,2090,1478,12255,1062,2022,1350,2136,418,2210,1164,440,1453
"2011","North West Leicestershire","E07000134","Total",46291,5383,6910,5300,5115,5859,4246,3275,4724,5479,24812,3615,3447,3051,912,5255,580,1005,4114,2833,21479,1768,3463,2249,4203,604,3666,2270,610,2646
"2011","Oadby and Wigston","E07000135","Total",26399,2717,4547,3179,3580,2864,2357,2462,2022,2671,13712,1857,2249,1831,807,2576,408,882,1638,1464,12687,860,2298,1348,2773,288,1949,1580,384,1207
"2011","Boston","E07000136","Total",30807,2410,3077,2128,2655,3957,2975,2556,5194,5855,16149,1563,1283,1216,536,3453,429,748,3729,3192,14658,847,1794,912,2119,504,2546,1808,1465,2663
"2011","East Lindsey","E07000137","Total",56311,6757,6522,5301,5240,8834,6594,4707,4927,7429,29827,4134,2719,3318,868,7768,1147,1435,4376,4062,26484,2623,3803,1983,4372,1066,5447,3272,551,3367
"2011","Lincoln","E07000138","Total",44599,3304,6005,4838,4210,4929,4779,5356,4462,6716,23086,2055,2870,2890,955,4416,873,1817,3616,3594,21513,1249,3135,1948,3255,513,3906,3539,846,3122
"2011","North Kesteven","E07000139","Total",52428,6382,7451,7661,5920,6575,5208,3905,4315,5011,27762,4312,3418,5031,1098,5833,766,1153,3653,2498,24666,2070,4033,2630,4822,742,4442,2752,662,2513
"2011","South Holland","E07000140","Total",41490,4437,4034,3605,4158,5932,3793,3129,6280,6122,22164,2911,1872,2018,710,5154,514,851,4881,3253,19326,1526,2162,1587,3448,778,3279,2278,1399,2869
"2011","South Kesteven","E07000141","Total",66532,8212,10107,8022,7200,8375,6342,5379,5619,7276,34611,5378,4925,4621,1277,7448,884,1550,4749,3779,31921,2834,5182,3401,5923,927,5458,3829,870,3497
"2011","West Lindsey","E07000142","Total",41968,4997,6610,4669,4436,5819,4425,3055,3523,4434,21948,3273,2931,2809,709,5200,681,902,3099,2344,20020,1724,3679,1860,3727,619,3744,2153,424,2090
"2011","Corby","E07000150","Total",30688,2367,2768,2630,2894,3326,2529,2725,4984,6465,16204,1556,1293,1386,523,3003,351,710,3878,3504,14484,811,1475,1244,2371,323,2178,2015,1106,2961
"2011","Daventry","E07000151","Total",39536,5700,6612,4982,4621,4587,3231,2329,2761,4713,21029,3840,3322,2821,792,4022,426,727,2448,2631,18507,1860,3290,2161,3829,565,2805,1602,313,2082
"2011","East Northamptonshire","E07000152","Total",43417,5443,6524,5331,4916,5703,4071,3064,3634,4731,23281,3665,3245,3124,871,5033,535,1009,3198,2601,20136,1778,3279,2207,4045,670,3536,2055,436,2130
"2011","Kettering","E07000153","Total",46918,5278,7093,5319,5016,6023,4588,3589,4384,5628,24821,3563,3320,3041,924,5348,638,1085,3749,3153,22097,1715,3773,2278,4092,675,3950,2504,635,2475
"2011","Northampton","E07000154","Total",106792,10358,15699,12527,13360,10949,10292,9269,8394,15944,55978,6741,7697,7070,2975,9637,1972,3295,7403,9188,50814,3617,8002,5457,10385,1312,8320,5974,991,6756
"2011","South Northamptonshire","E07000155","Total",45740,6875,8034,6284,5620,5702,3583,2898,2679,4065,24176,4676,4006,3560,947,5026,481,968,2376,2136,21564,2199,4028,2724,4673,676,3102,1930,303,1929
"2011","Wellingborough","E07000156","Total",36363,3787,4589,4034,4331,4340,3317,2988,3622,5355,19253,2539,2189,2285,854,3836,508,943,3082,3017,17110,1248,2400,1749,3477,504,2809,2045,540,2338
"2011","Ashfield","E07000170","Total",55336,4889,5883,5423,6354,7930,5728,5224,6168,7737,29158,3121,2784,3156,1194,7217,995,1404,5230,4057,26178,1768,3099,2267,5160,713,4733,3820,938,3680
